youtubeid,Country,Channel_Name,Category,username,followers,Likes,Views,Views_Avg,Comments_Avg
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID979,KR,BLACKPINK,Music,BLACKPINK,75100000,617573972,24247825120,17409820,135847.3013
ID987,IN,Bollywood Classics,Music,Bollywood Classics,30200000,16021508.49,18875735928,471105.5,235.993994
ID987,IN,Bollywood Classics,Music,Bollywood Classics,30200000,16021508.49,18875735928,471105.5,235.993994
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID989,US,BRIGHT SIDE,Lifestyle,BRIGHT SIDE,43700000,36932146.78,9969944772,395681.0212,950.0900288
ID106,US,Bruno Mars,Rhythm and blues,Bruno Mars,35100000,82066537.66,17193624383,42594367,27503.7
ID106,US,Bruno Mars,Rhythm and blues,Bruno Mars,35100000,82066537.66,17193624383,42594367,27503.7
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID999,BR,Canal KondZilla,Music,Canal KondZilla,65800000,116511691.1,36444038220,730263.3214,1165.754052
ID1007,IN,Carry Minati,Music,CarryMinati,36000000,649801095.4,2925375307,45650538,199523.4677
ID1007,IN,Carry Minati,Music,CarryMinati,36000000,649801095.4,2925375307,45650538,199523.4677
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID173,US,Daddy Yankee,Pop music,Daddy Yankee,36600000,188506752.5,20194962867,34904111.25,17001.93939
ID1017,US,DanTDM,Role-playing video game,DanTDM,26100000,327301869.2,18742286029,3750864.875,13967.4374
ID1017,US,DanTDM,Role-playing video game,DanTDM,26100000,327301869.2,18742286029,3750864.875,13967.4374
ID1019,US,David Guetta,Electronic music,David Guetta,24200000,27690147.76,15826729467,2730757,1386.875
ID1019,US,David Guetta,Electronic music,David Guetta,24200000,27690147.76,15826729467,2730757,1386.875
ID1021,US,Diana and Roma ESP,Lifestyle,Diana and Roma ESP,25600000,18259274.4,9951799519,7731874,0
ID1021,US,Diana and Roma ESP,Lifestyle,Diana and Roma ESP,25600000,18259274.4,9951799519,7731874,0
ID1023,US,DisneyMusicVEVO,Movies,DisneyMusicVEVO,29700000,90824434.52,24190969252,1395586.867,2119.233936
ID1023,US,DisneyMusicVEVO,Movies,DisneyMusicVEVO,29700000,90824434.52,24190969252,1395586.867,2119.233936
ID1530,CA,Drake,Pop music,Drake,26600000,7434135.412,12642399087,17163211.5,6409.431373
ID1530,CA,Drake,Pop music,Drake,26600000,7434135.412,12642399087,17163211.5,6409.431373
ID1027,US,Dream,Action-adventure game,Dream,29500000,108019743.5,2617970693,34656080.75,54184.72254
ID1027,US,Dream,Action-adventure game,Dream,29500000,108019743.5,2617970693,34656080.75,54184.72254
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
ID1029,US,Dude Perfect,Lifestyle,Dude Perfect,57800000,244293352.9,14560770809,62768767.25,36144.07884
